#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-07-26T09:44:39 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ51f244503a49	
#INFO	-out.max=unlimited	
#INFO	queryParameters=29	
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:VIII/15&tab:{VIII/15/pkscat90}&tab:{VIII/15/refs}&key:source=VIII/15&HTTPPRM:&&-ref=VIZ51f244503a49&-file=.&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=dec&-c.r=  2&-c.geom=r&-order=I&-out.form=verb&-out=Bname&-out=Alias&-out=RAB1950&-out=DEB1950&-out=Ident&-out=z&-out=S80&-out=S178&-out=S408&-out=S635&-out=S1410&-out=S2700&-out=S5000&-out=Jname&-out=errPos&-out=r_z&-out=Ref&-out=BibCode&-out=Authors&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=unlimited&-out.form=Tab-Separated-Values&-c.eq=J2000&-c.u=arcmin&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VIII/15/pkscat90,VIII/15/refs
#-order=I
#-out=Bname
#-out=Alias
#-out=RAB1950
#-out=DEB1950
#-out=Ident
#-out=z
#-out=S80
#-out=S178
#-out=S408
#-out=S635
#-out=S1410
#-out=S2700
#-out=S5000
#-out=Jname
#-out=errPos
#-out=r_z
#-out=Ref
#-out=BibCode
#-out=Authors
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_8015
#Name: VIII/15
#Title: Parkes Radio Sources Catalogue (PKSCAT90) (Wright+ 1990)
#Coosys	B1950:	eq_FK4 B1950
#Table	VIII_15_pkscat90:
#Name: VIII/15/pkscat90
#Title: The Catalogue
#Column	_RAJ2000	(A10)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A9)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Bname	(a10)	B1950 source name	[ucd=meta.id;meta.main]
#Column	Alias	(a7)	Alias/other catalogue names	[ucd=meta.id]
#Column	RAB1950	(A10)	Right Ascension B1950.0 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A9)	Declination B1950.0 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	Ident	(A4)	Identification of source (1)	[ucd=src.class]
#Column	z	(F6.3)	? Redshift (reference in r_z)	[ucd=src.redshift]
#Column	S80	(F8.3)	? Flux density at 80 MHz	[ucd=phot.flux.density;em.radio.20-100MHz]
#Column	S178	(F8.3)	? Flux density at 178 MHz	[ucd=phot.flux.density;em.radio.100-200MHz]
#Column	S408	(F8.3)	? Flux density at 408 MHz	[ucd=phot.flux.density;em.radio.200-400MHz]
#Column	S635	(F8.3)	? Flux density at 635 MHz	[ucd=phot.flux.density;em.radio.400-750MHz]
#Column	S1410	(F8.3)	? Flux density at 1410 MHz (21cm)	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	S2700	(F8.3)	? Flux density at 2700 MHz (11cm)	[ucd=phot.flux.density;em.radio.1500-3000MHz]
#Column	S5000	(F8.3)	? Flux density at 5000 MHz (6cm)	[ucd=phot.flux.density;em.radio.3-6GHz]
#Column	Jname	(a11)	J2000 Name	[ucd=meta.id]
#Column	errPos	(F5.2)	? positional accuracy in arcsec. (to be read as "better than")	[ucd=stat.error]
#Column	r_z	(a20)	Comma-separated references for z (see file refs.dat)	[ucd=meta.ref]
_RAJ2000	_DEJ2000	Bname	Alias	RAB1950	DEB1950	Ident	z	S80	S178	S408	S635	S1410	S2700	S5000	Jname	errPos	r_z
22 16 14.2	-16 32 07	B2213-167 	       	22 13 31.6	-16 47 06	E   	      	        	        	        	        	        	   0.200	   0.100	J2216-1632 	20.00	
22 16 18.6	-19 48 49	B2213-200 	       	22 13 34.1	-20 03 48	Xs  	      	        	        	   0.367	        	        	   0.070	        	J2216-1948 	20.00	
22 15 59.9	-28 03 30	B2213-283 	OY-222 	22 13 10.2	-28 18 28	Q?  	      	        	        	   2.540	        	        	   0.420	   0.290	J2215-2803 	20.00	
22 16 55.9	-45 21 42	B2213-456 	       	22 13 52.2	-45 36 42	G   	      	   7.000	        	   4.330	        	   2.300	   1.080	   0.560	J2216-4521 	10.00	
22 16 54.0	-67 02 41	B2213-672 	       	22 13 10.0	-67 17 40	Xs  	      	        	        	   0.760	        	        	   0.160	        	J2216-6702 	20.00	
22 17 46.7	-70 44 54	B2213-709 	       	22 13 48.3	-70 59 55	Q   	      	        	        	        	        	        	   0.280	   0.300	J2217-7044 	 2.00	
22 22 35.9	-85 21 10	B2213-856 	       	22 13 59.2	-85 36 16	Xs  	      	        	        	        	        	        	   0.130	        	J2222-8521 	20.00	
22 17 14.2	-03 19 59	B2214-035 	4C-3.78	22 14 38.7	-03 35 00	X   	      	        	   2.800	   1.480	        	        	   0.300	   0.180	J2217-0319 	20.00	
22 17 02.0	-19 01 57	B2214-192 	       	22 14 18.0	-19 16 57	Xs  	      	        	        	        	        	        	   0.080	   0.140	J2217-1901 	20.00	
22 17 31.8	-40 16 00	B2214-405 	       	22 14 33.1	-40 31 01	Xg  	      	        	        	   2.470	        	        	   0.240	   0.130	J2217-4015 	20.00	
22 18 27.5	-64 54 36	B2214-651 	       	22 14 51.2	-65 09 38	Xs  	      	        	        	   1.620	        	        	   0.300	   0.170	J2218-6454 	20.00	
22 17 48.2	+02 20 11	B2215+020 	       	22 15 15.6	+02 05 09	Q   	 3.550	        	        	   1.850	        	   0.600	   0.650	   0.630	J2217+0220 	 0.15	
22 18 30.1	+00 12 20	B2215-000 	4C-0.81	22 15 56.4	-00 02 43	G   	      	        	   3.500	   1.440	        	   0.460	   0.310	   0.170	J2218+0012 	10.00	
22 17 45.9	-02 32 37	B2215-027 	       	22 15 10.8	-02 47 39	X   	      	        	        	   1.370	        	   0.450	   0.350	   0.240	J2217-0232 	20.00	
22 18 03.3	-17 43 14	B2215-179 	OY-126 	22 15 20.2	-17 58 16	Xs  	      	        	        	   1.120	        	        	   0.230	   0.150	J2218-1743 	20.00	
22 18 03.6	-17 59 09	B2215-182 	       	22 15 20.3	-18 14 11	G   	      	        	        	        	        	        	        	   0.090	J2218-1759 	20.00	
22 18 20.7	-18 19 57	B2215-185 	       	22 15 37.2	-18 35 00	Xs  	      	        	        	   0.810	        	        	   0.100	        	J2218-1819 	20.00	
22 17 47.9	-20 23 10	B2215-206 	       	22 15 03.2	-20 38 12	Xs  	      	        	        	        	        	        	   0.130	   0.050	J2217-2023 	20.00	
22 18 10.7	-30 24 03	B2215-306 	       	22 15 19.8	-30 39 05	Xg  	      	        	        	   2.760	        	        	   0.600	   0.290	J2218-3024 	20.00	
22 18 03.8	-36 37 26	B2215-368 	       	22 15 08.3	-36 52 28	Xs  	      	        	        	   1.330	        	        	   0.180	   0.110	J2218-3637 	20.00	
22 18 41.0	-38 54 51	B2215-391 	       	22 15 43.7	-39 09 54	Xs  	      	        	        	   0.900	        	        	   0.150	   0.070	J2218-3854 	20.00	
22 18 06.5	-46 13 36	B2215-464 	       	22 15 02.2	-46 28 38	Xg  	      	        	        	   0.970	        	        	   0.240	        	J2218-4613 	20.00	
22 18 19.0	-50 38 42	B2215-508 	       	22 15 09.6	-50 53 44	Q   	 1.356	        	        	   1.640	        	        	   0.910	   0.580	J2218-5038 	20.00	
22 18 52.1	-03 35 37	B2216-038 	4C-3.79	22 16 16.4	-03 50 41	Q   	 0.901	   5.000	   2.800	   1.770	   1.800	   0.900	   2.210	   3.630	J2218-0335 	 0.02	
22 18 53.6	-26 35 44	B2216-268 	OY-227 	22 16 05.3	-26 50 48	Xs  	      	        	        	        	        	        	   0.130	        	J2218-2635 	20.00	
22 19 42.5	-27 56 21	B2216-281 	OY-229 	22 16 53.4	-28 11 26	Xg  	      	   7.000	        	   6.240	        	   2.100	   1.000	   0.450	J2219-2756 	 0.50	
22 19 02.3	-35 03 06	B2216-353 	       	22 16 08.2	-35 18 10	Xg  	      	        	        	        	        	        	   0.170	   0.090	J2219-3503 	20.00	
22 19 09.6	-41 26 02	B2216-416 	       	22 16 10.2	-41 41 06	Xs  	      	        	        	   1.270	        	        	   0.290	   0.190	J2219-4126 	20.00	
22 20 30.8	+02 04 54	B2217+018 	4C01.70	22 17 58.0	+01 49 47	Q?  	      	        	   3.400	   2.140	        	   0.640	   0.470	   0.270	J2220+0204 	20.00	
22 20 09.0	+09 00 04	B2217+087 	4C08.66	22 17 39.7	+08 44 58	Xs  	      	        	   2.100	   1.800	        	        	   0.230	        	J2220+0900 	20.00	
22 20 05.2	+13 07 10	B2217+128 	4C12.77	22 17 38.0	+12 52 04	Q?  	      	   6.000	   3.900	   2.310	        	   0.800	   0.470	   0.280	J2220+1307 	10.00	
22 19 47.0	-00 51 28	B2217-011 	       	22 17 12.7	-01 06 34	X   	      	        	        	        	        	        	   0.350	   0.280	J2219-0051 	20.00	
22 20 15.5	-13 06 47	B2217-133 	       	22 17 35.0	-13 21 53	Xs  	      	        	        	        	        	        	   0.150	        	J2220-1306 	20.00	
22 20 15.5	-14 55 59	B2217-151 	       	22 17 34.1	-15 11 05	*   	      	        	        	   1.050	        	        	   0.200	   0.100	J2220-1455 	20.00	
22 20 37.6	-24 54 03	B2217-251 	OV-230 	22 17 50.5	-25 09 10	X   	      	        	        	   2.450	        	        	   0.470	   0.200	J2220-2454 	20.00	
22 20 14.8	-37 32 06	B2217-377 	       	22 17 19.0	-37 47 12	Xs  	      	        	        	   1.630	        	        	   0.230	   0.150	J2220-3732 	20.00	
22 21 09.3	-50 18 34	B2218-505 	22-51  	22 18 01.2	-50 33 42	Xg  	      	        	        	   4.080	        	   2.000	   0.760	   0.300	J2221-5018 	10.00	
22 22 22.0	-02 50 08	B2219-030 	4C-3.80	22 19 46.8	-03 05 18	X   	      	   6.000	   5.500	   3.210	   2.500	   1.030	   0.770	   0.460	J2222-0250 	10.00	
22 22 29.3	-05 06 40	B2219-053 	OY-034 	22 19 53.0	-05 21 51	Xs  	      	        	        	   0.710	        	        	   0.150	        	J2222-0506 	20.00	
22 22 28.3	-14 47 11	B2219-150 	       	22 19 47.1	-15 02 22	Xs  	      	        	        	   1.220	        	   0.400	   0.270	   0.180	J2222-1447 	20.00	
22 22 28.2	-15 11 40	B2219-154 	OY-133 	22 19 46.8	-15 26 51	Xs  	      	        	        	   1.910	        	        	   0.410	   0.240	J2222-1511 	20.00	
22 22 41.7	-31 16 15	B2219-315 	       	22 19 50.9	-31 31 26	    	      	        	        	        	        	        	   0.110	        	J2222-3116 	20.00	
22 22 56.2	-45 27 04	B2219-457 	       	22 19 54.0	-45 42 15	X   	      	        	        	   1.520	        	        	   0.400	   0.190	J2222-4527 	20.00	
22 23 03.1	-63 39 24	B2219-639 	       	22 19 32.7	-63 54 35	D   	      	        	        	        	        	        	   0.310	   0.140	J2223-6339 	20.00	
22 23 41.1	-16 07 02	B2220-163 	       	22 20 59.3	-16 22 15	Q?  	      	        	        	        	        	        	   0.210	   0.300	J2223-1607 	10.00	
22 23 36.2	-31 00 43	B2220-312 	       	22 20 45.7	-31 15 56	Xg  	      	        	        	        	        	        	   0.150	        	J2223-3100 	20.00	
22 23 20.6	-31 36 51	B2220-318 	       	22 20 29.7	-31 52 03	G   	      	        	        	        	        	        	   0.210	        	J2223-3136 	20.00	
22 23 05.2	-34 55 48	B2220-351 	       	22 20 11.9	-35 11 00	Q   	      	        	        	   1.810	        	        	   0.480	   0.360	J2223-3455 	20.00	
22 23 17.5	-39 37 43	B2220-398 	       	22 20 20.6	-39 52 55	Xg  	      	        	        	        	        	        	   0.120	        	J2223-3937 	20.00	
22 23 27.5	-50 17 13	B2220-505 	       	22 20 20.2	-50 32 25	Xg  	      	        	        	   2.180	        	   1.200	   0.680	   0.370	J2223-5017 	20.00	
22 24 10.9	+02 47 10	B2221+025 	4C02.55	22 21 38.4	+02 31 56	Xs  	      	        	   2.500	   1.040	        	        	   0.150	        	J2224+0247 	20.00	
22 23 50.6	-02 06 36	B2221-023 	3C445  	22 21 15.8	-02 21 49	N   	 0.057	  57.000	  23.500	  17.500	  12.200	   5.100	   3.460	   2.120	J2223-0206 	20.00	s65b
22 24 08.0	-11 26 21	B2221-116 	       	22 21 28.6	-11 41 35	Q?  	      	        	        	        	        	        	   0.430	   0.430	J2224-1126 	20.00	
22 24 28.7	-13 40 43	B2221-139 	       	22 21 48.2	-13 55 57	Q?  	      	        	        	   2.560	        	        	   0.310	   0.180	J2224-1340 	20.00	
22 24 00.3	-35 37 20	B2221-358 	       	22 21 06.7	-35 52 33	Xg  	      	        	        	   0.950	        	        	   0.130	        	J2224-3537 	20.00	
22 24 43.8	-38 31 35	B2221-387 	       	22 21 48.1	-38 46 49	Xg  	      	        	        	   1.620	        	        	   0.410	   0.270	J2224-3831 	20.00	
22 25 50.8	-77 30 52	B2221-777 	       	22 21 12.4	-77 46 07	Xs  	      	        	        	        	        	        	   0.110	        	J2225-7730 	20.00	
22 26 58.3	-81 13 20	B2221-814 	       	22 21 26.2	-81 28 36	Xs  	      	        	        	        	        	        	   0.150	        	J2226-8113 	20.00	
22 24 40.1	+04 17 39	B2222+040 	       	22 22 08.3	+04 02 24	Xs  	      	        	        	   0.900	        	        	   0.290	   0.140	J2224+0417 	20.00	
22 25 15.9	+05 27 08	B2222+051 	4C05.84	22 22 44.7	+05 11 52	Q   	 2.323	   9.000	   5.800	   2.610	        	   0.800	   0.440	   0.270	J2225+0527 	20.00	
22 24 52.4	-16 01 55	B2222-162 	       	22 22 10.7	-16 17 10	Xs  	      	        	        	   1.250	        	        	   0.220	   0.160	J2224-1601 	20.00	
22 25 10.8	-16 19 56	B2222-165 	       	22 22 29.0	-16 35 11	Xs  	      	        	        	   1.180	        	        	   0.260	   0.170	J2225-1619 	20.00	
22 25 54.1	-40 20 26	B2222-405 	       	22 22 57.2	-40 35 43	D   	      	   6.000	        	   2.260	        	   0.400	   0.560	   0.310	J2225-4020 	20.00	
22 25 25.0	-43 24 24	B2222-436 	       	22 22 25.4	-43 39 40	G   	      	        	        	   0.800	        	        	   0.130	        	J2225-4324 	20.00	
22 25 38.0	+21 18 06	B2223+210 	       	22 23 14.7	+21 02 50	Q   	 1.959	        	        	        	        	        	   0.860	   1.350	J2225+2118 	 1.00	
22 25 47.3	-04 57 01	B2223-052 	3C446  	22 23 11.1	-05 12 18	Q   	 1.406	  25.000	  17.300	  11.900	        	   6.200	   4.700	   4.310	J2225-0457 	 0.02	
22 25 43.7	-11 13 39	B2223-114 	       	22 23 04.5	-11 28 55	N   	      	        	        	        	        	        	   0.260	   0.350	J2225-1113 	20.00	
22 25 42.0	-14 20 41	B2223-145 	OY-138 	22 23 01.2	-14 35 57	Xs  	      	        	        	   1.770	        	        	   0.230	   0.160	J2225-1420 	20.00	
22 27 02.9	-52 33 26	B2223-528 	22-52  	22 23 54.0	-52 48 44	Xs  	      	        	        	   8.830	        	   2.500	   1.350	   0.660	J2227-5233 	20.00	
22 26 56.9	-62 38 08	B2223-628 	       	22 23 31.0	-62 53 26	Xg  	      	        	        	   2.410	        	   1.000	   0.530	   0.300	J2226-6238 	20.00	
22 26 46.5	+00 52 10	B2224+006 	4C00.81	22 24 13.1	+00 36 52	X   	      	        	   2.600	   1.050	   0.600	   0.480	   0.520	   0.490	J2226+0052 	20.00	
22 26 40.3	-02 09 42	B2224-024 	4C-2.84	22 24 05.5	-02 25 00	Xs  	      	        	   3.500	   1.830	        	        	   0.200	   0.110	J2226-0209 	20.00	
22 27 40.2	-19 46 51	B2224-200 	OY-142 	22 24 56.8	-20 02 11	Xs  	      	        	        	   0.233	        	        	   0.240	   0.140	J2227-1946 	20.00	
22 27 12.6	-26 25 49	B2224-266 	OY-241 	22 24 25.5	-26 41 08	G   	      	        	        	        	        	        	   0.170	        	J2227-2625 	20.00	
22 27 02.0	-32 55 55	B2224-331 	       	22 24 10.8	-33 11 14	Xs  	      	        	        	        	        	        	   0.170	        	J2227-3255 	20.00	
22 27 22.9	-58 42 11	B2224-589 	       	22 24 05.0	-58 57 30	Xs  	      	        	        	   1.320	        	        	   0.260	   0.120	J2227-5842 	20.00	
22 28 16.2	+10 20 23	B2225+100 	4C10.68	22 25 47.2	+10 05 02	N   	      	        	   2.900	   1.680	        	        	   0.490	   0.320	J2228+1020 	20.00	
22 28 15.4	-01 43 22	B2225-019 	4C-2.85	22 25 40.8	-01 58 43	Xs  	      	        	   2.400	   1.230	        	        	   0.300	   0.180	J2228-0143 	20.00	
22 28 31.4	-25 07 21	B2225-253 	       	22 25 45.2	-25 22 42	E   	      	        	        	        	        	        	   0.230	   0.130	J2228-2507 	20.00	
22 27 50.7	-30 33 40	B2225-308 	       	22 25 01.2	-30 49 00	N   	      	        	        	   1.790	        	        	   0.550	   0.340	J2227-3033 	20.00	
22 28 44.1	-32 20 17	B2225-325 	       	22 25 53.6	-32 35 39	Xg  	      	        	        	        	        	        	   0.130	        	J2228-3220 	20.00	
22 28 09.4	-41 29 20	B2225-417 	       	22 25 12.1	-41 44 41	Xg  	      	        	        	        	        	        	   0.140	        	J2228-4129 	20.00	
22 28 59.9	-69 10 30	B2225-694 	       	22 25 16.4	-69 25 51	Q   	      	        	        	        	        	        	   0.270	   0.350	J2228-6910 	 2.00	
22 29 50.2	-76 10 17	B2225-764 	       	22 25 28.9	-76 25 39	Xs  	      	        	        	        	        	        	   0.130	        	J2229-7610 	20.00	
22 30 10.7	-78 16 02	B2225-785 	       	22 25 29.5	-78 31 25	X   	      	        	        	   1.120	        	        	   0.350	   0.250	J2230-7816 	20.00	
22 29 10.6	+09 14 28	B2226+089 	4C08.67	22 26 41.0	+08 59 06	Xs  	      	   6.000	   5.600	   3.050	        	   0.600	   0.440	   0.220	J2229+0914 	20.00	
22 29 03.8	-19 24 03	B2226-196 	OY-144 	22 26 20.7	-19 39 25	X   	      	        	        	   2.010	        	        	   0.310	   0.150	J2229-1924 	20.00	
22 29 39.8	-20 50 57	B2226-211 	NGC7293	22 26 56.0	-21 06 20	PN  	      	        	        	        	        	        	   1.090	   0.900	J2229-2050 	20.00	
22 29 22.2	-34 02 31	B2226-342 	       	22 26 30.7	-34 17 54	Xs  	      	        	        	   0.780	        	        	   0.210	        	J2229-3402 	20.00	
22 29 46.9	-38 23 59	B2226-386 	       	22 26 52.4	-38 39 22	Xs  	      	   7.000	        	   8.210	        	   2.040	   0.880	   0.360	J2229-3823 	 0.05	
22 29 18.6	-40 51 31	B2226-411 	22-43  	22 26 22.1	-41 06 54	Q?  	      	  21.000	        	   6.830	        	   2.720	   1.850	   1.050	J2229-4051 	 0.50	
22 29 51.6	+01 14 58	B2227+009 	       	22 27 18.3	+00 59 34	Xs  	      	        	        	        	        	        	   0.200	   0.200	J2229+0114 	20.00	
22 30 14.1	+03 51 52	B2227+036 	       	22 27 42.0	+03 36 28	Xs  	      	        	        	   0.720	        	        	   0.120	        	J2230+0351 	20.00	
22 29 35.0	+26 19 51	B2227+260 	4C26.62	22 27 14.0	+26 04 28	Xs  	      	  12.000	   5.000	        	   1.400	   0.800	   0.320	   0.170	J2229+2619 	20.00	
22 29 40.0	-08 32 55	B2227-088 	       	22 27 02.3	-08 48 18	Q   	 1.562	   7.000	        	   1.140	        	   1.100	   1.490	   1.410	J2229-0832 	 0.15	
22 30 40.8	-21 12 35	B2227-214 	OY-247 	22 27 57.0	-21 28 00	Q?  	      	        	        	   1.810	        	        	   0.340	   0.150	J2230-2112 	20.00	
22 29 44.6	-22 00 51	B2227-222 	OY-245 	22 27 00.2	-22 16 14	Xs  	      	        	        	        	        	        	   0.240	   0.130	J2229-2200 	20.00	
22 30 40.3	-39 42 52	B2227-399 	       	22 27 45.0	-39 58 17	Q   	 0.323	        	        	        	        	   0.860	   1.020	   1.020	J2230-3942 	 0.50	os80,bsb75
22 30 56.5	-44 16 31	B2227-445 	       	22 27 57.5	-44 31 56	Q?  	      	        	        	        	        	        	   0.260	   0.230	J2230-4416 	20.00	
22 31 06.6	-62 31 44	B2227-627 	       	22 27 43.1	-62 47 09	Xs  	      	        	        	        	        	        	   0.220	        	J2231-6231 	20.00	
22 31 05.4	-66 18 54	B2227-665 	       	22 27 32.5	-66 34 19	Xg  	      	        	        	   2.290	        	   1.000	   0.480	   0.270	J2231-6618 	20.00	
22 31 09.0	+16 23 09	B2228+161 	4C16.76	22 28 42.7	+16 07 43	Xs  	      	  10.000	   4.600	   2.520	        	   0.700	   0.430	   0.210	J2231+1623 	20.00	
22 30 26.7	+25 15 23	B2228+249 	4C24.58	22 28 05.0	+24 59 58	Xs  	      	        	   2.100	        	        	   0.400	   0.280	   0.150	J2230+2515 	20.00	
22 31 24.1	-17 51 01	B2228-181 	       	22 28 42.0	-18 06 27	Xs  	      	        	        	   0.760	        	        	   0.120	        	J2231-1751 	20.00	
22 31 23.1	-31 39 56	B2228-319 	       	22 28 33.5	-31 55 22	Xg  	      	        	        	   0.780	        	        	   0.170	        	J2231-3139 	20.00	
22 30 59.6	-36 32 17	B2228-367 	       	22 28 06.7	-36 47 42	E   	      	        	        	   1.110	        	        	   0.280	   0.190	J2230-3632 	20.00	
22 32 21.0	-69 45 41	B2228-700 	       	22 28 37.7	-70 01 08	Xs  	      	        	        	        	        	        	   0.340	   0.220	J2232-6945 	20.00	
22 32 26.5	+03 11 17	B2229+029 	       	22 29 54.1	+02 55 49	X   	      	        	        	   1.380	        	        	   0.260	   0.150	J2232+0311 	20.00	
22 31 43.4	+07 02 35	B2229+067 	4C06.74	22 29 12.7	+06 47 08	X   	      	        	   2.600	   1.740	        	   0.600	   0.310	   0.130	J2231+0702 	20.00	
22 31 44.0	-08 24 47	B2229-086 	       	22 29 06.4	-08 40 14	E   	      	        	        	   0.890	        	   0.600	   0.450	   0.200	J2231-0824 	20.00	
22 32 29.6	-09 03 37	B2229-093 	       	22 29 51.7	-09 19 05	Xs  	      	        	        	   1.370	        	        	   0.220	   0.130	J2232-0903 	20.00	
22 32 22.6	-16 59 02	B2229-172 	OY-150 	22 29 41.0	-17 14 30	Q   	      	        	        	        	        	   0.400	   0.520	   0.580	J2232-1659 	 0.50	
22 33 05.5	-58 38 01	B2229-588 	       	22 29 50.2	-58 53 30	Xs  	      	        	        	   1.480	        	        	   0.310	   0.150	J2233-5838 	20.00	
22 32 36.4	+11 43 51	B2230+114 	CTA102 	22 30 07.8	+11 28 23	Q   	 1.037	   6.000	   5.500	   9.220	        	   6.900	   5.400	   3.500	J2232+1143 	 0.02	sbb77,s65a
22 32 40.9	-14 42 25	B2230-149 	OY-151 	22 30 00.5	-14 57 53	Q?  	      	        	        	   0.760	        	        	   0.210	   0.160	J2232-1442 	10.00	
22 33 25.7	-20 24 50	B2230-206 	OY-251 	22 30 42.6	-20 40 20	Xs  	      	        	        	   1.010	        	        	   0.300	   0.200	J2233-2024 	20.00	
22 32 46.6	-23 30 13	B2230-237 	       	22 30 01.8	-23 45 41	Xs  	      	        	        	        	        	        	   0.090	        	J2232-2330 	20.00	
22 33 20.5	-31 13 33	B2230-314 	       	22 30 31.5	-31 29 02	Xs  	      	        	        	        	        	        	   0.100	        	J2233-3113 	20.00	
22 33 44.1	-38 30 52	B2230-387 	       	22 30 50.4	-38 46 22	Xs  	      	        	        	   1.720	        	        	   0.250	   0.140	J2233-3830 	20.00	
22 33 44.4	+01 51 09	B2231+015 	4C01.71	22 31 11.4	+01 35 39	Xs  	      	        	   2.900	   1.800	        	        	   0.140	        	J2233+0151 	20.00	
22 33 54.0	-12 30 35	B2231-127 	       	22 31 14.6	-12 46 05	G   	      	        	        	   1.010	        	        	   0.310	   0.210	J2233-1230 	20.00	
22 34 02.3	-17 59 03	B2231-182 	OY-153 	22 31 20.4	-18 14 34	Xs  	      	        	        	   1.490	        	        	   0.280	   0.160	J2234-1759 	20.00	
22 34 06.1	-25 46 31	B2231-260 	       	22 31 20.3	-26 02 02	Xs  	      	        	        	        	        	        	   0.160	        	J2234-2546 	20.00	
22 35 31.4	+00 22 40	B2232+001 	       	22 32 57.7	+00 07 07	Xs  	      	        	        	   0.830	        	        	   0.130	   0.080	J2235+0022 	20.00	
22 34 53.1	+24 31 38	B2232+242 	4C24.59	22 32 30.5	+24 16 06	Xs  	      	  14.000	   2.900	        	   1.200	   0.700	   0.500	   0.270	J2234+2431 	20.00	
22 35 18.7	-15 18 32	B2232-155 	OY-154 	22 32 38.2	-15 34 05	Xs  	      	        	        	        	        	        	   0.160	        	J2235-1518 	20.00	
22 34 57.5	-20 55 06	B2232-211 	OY-2541	22 32 14.3	-21 10 38	Q   	 1.440	        	        	        	        	        	   0.230	   0.250	J2234-2055 	10.00	
22 35 21.6	-22 59 52	B2232-232 	OY-255 	22 32 37.4	-23 15 25	Xs  	      	        	        	   2.190	        	        	   0.490	   0.310	J2235-2259 	20.00	
22 35 10.0	-27 00 26	B2232-272 	OY-254 	22 32 23.6	-27 15 58	X   	      	        	        	   1.110	        	        	   0.200	   0.140	J2235-2700 	20.00	
22 35 13.3	-48 35 59	B2232-488 	       	22 32 11.5	-48 51 31	Q   	 0.510	        	        	   1.280	        	        	   0.810	   0.870	J2235-4835 	 0.50	
22 35 11.0	-52 23 18	B2232-526 	       	22 32 05.2	-52 38 50	E   	      	        	        	   1.030	        	        	   0.300	   0.200	J2235-5223 	20.00	
22 35 48.9	-66 19 18	B2232-665 	       	22 32 19.0	-66 34 51	Xs  	      	        	        	   1.690	        	        	   0.270	   0.150	J2235-6619 	20.00	
22 36 34.1	-14 33 22	B2233-148 	OY-156 	22 33 54.0	-14 48 57	QC  	      	        	        	        	        	        	   0.500	   0.610	J2236-1433 	 0.15	
22 36 09.5	-17 06 21	B2233-173 	       	22 33 28.2	-17 21 55	Q?  	      	        	        	        	        	        	   0.300	   0.450	J2236-1706 	20.00	
22 36 32.6	+20 33 09	B2234+202 	4C20.54	22 34 07.8	+20 17 34	Xs  	      	   7.000	   3.300	        	   1.600	   0.700	   0.500	   0.310	J2236+2033 	20.00	
22 36 56.0	-12 47 44	B2234-130 	       	22 34 16.7	-13 03 19	G   	      	        	        	   1.620	        	        	   0.330	   0.220	J2236-1247 	20.00	
22 37 36.4	-17 12 19	B2234-174 	OY-158 	22 34 55.2	-17 27 55	Xs  	      	  15.000	        	   4.720	        	   1.000	   0.670	   0.330	J2237-1712 	20.00	
22 37 18.6	-25 06 51	B2234-253 	OY-258 	22 34 33.5	-25 22 27	G   	      	        	        	        	        	        	   0.600	   0.340	J2237-2506 	20.00	
22 37 08.0	-39 21 03	B2234-396 	       	22 34 14.4	-39 36 38	Xs  	      	        	        	        	        	        	   0.340	   0.230	J2237-3921 	20.00	
22 37 29.8	-53 43 45	B2234-539 	       	22 34 23.2	-53 59 21	Xs  	      	        	        	   1.290	        	        	   0.220	        	J2237-5343 	20.00	
22 39 56.1	-81 01 56	B2234-812 	       	22 34 50.7	-81 17 34	Xs  	      	        	        	        	        	        	   0.200	        	J2239-8101 	20.00	
22 40 16.7	-81 58 49	B2234-822 	       	22 34 53.2	-82 14 27	Xs  	      	        	        	        	        	        	   0.110	        	J2240-8158 	20.00	
22 37 46.4	-11 45 47	B2235-120 	22-114 	22 35 07.6	-12 01 23	Xs  	      	  14.000	        	   4.650	        	   1.200	   1.030	   0.560	J2237-1145 	20.00	
22 38 23.5	-12 22 19	B2235-126 	       	22 35 44.5	-12 37 56	Xs  	      	        	        	   1.450	        	        	   0.290	   0.140	J2238-1222 	20.00	
