#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-07-26T09:49:57 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ51f244583b40	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:VIII/16&tab:{VIII/16/mrcj2000}&key:source=VIII/16&HTTPPRM:&-out.max=20&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VIII/16/mrcj2000
#-order=I
#-out=MRC
#-out=RAB1950
#-out=DEB1950
#-out=RA2000
#-out=DE2000
#-out=S408
#-out=e_S408
#-out=n_S408
#-out=Mflag
#-out=Cflag
#

#RESOURCE=yCat_8016
#Name: VIII/16
#Title: Molonglo Reference Catalogue of Radio Sources (Large+ 1991)
#Coosys	B1950:	eq_FK4 B1950
#Table	VIII_16_mrcj2000:
#Name: VIII/16/mrcj2000
#Title: Catalog Data
#Column	_RAJ2000	(A10)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A9)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	MRC	(a9)	Recommended IAU name of the source based on B1950 equinox.	[ucd=meta.id;meta.main]
#Column	RAB1950	(A10)	Right ascension in B1950 equinox	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A9)	DEC in degrees in B1950 equinox	[ucd=pos.eq.dec;meta.main]
#Column	RA2000	(A10)	Right ascension in J2000 equinox (Converted from B1950 using the STARLINK program COCO)	[ucd=pos.eq.ra]
#Column	DE2000	(A9)	DEC in J2000 equinox	[ucd=pos.eq.dec]
#Column	S408	(F7.2)	Flux density	[ucd=phot.flux.density;em.radio.200-400MHz]
#Column	e_S408	(F5.2)	Standard error	[ucd=stat.error]
#Column	n_S408	(A1)	[*] scattering flag (1)	[ucd=meta.note]
#Column	Mflag	(A3)	[ AECMN] *Morphology flags	[ucd=meta.code]
#Column	Cflag	(A3)	[ CJMPRST] Cross-reference flags.	[ucd=meta.code]
_RAJ2000	_DEJ2000	MRC	RAB1950	DEB1950	RA2000	DE2000	S408	e_S408	n_S408	Mflag	Cflag
16 53 52.8	-11 56 03	1651-118 	16 51 05.6	-11 51 12	16 53 52.9	-11 56 03	   0.97	 0.03	 	   	
16 57 44.8	-74 23 09	1651-743 	16 51 22.2	-74 18 27	16 57 44.8	-74 23 09	   1.08	 0.05	 	   	
16 53 57.3	+04 43 10	1651+047 	16 51 28.8	+04 48 00	16 53 57.3	+04 43 10	   0.89	 0.11	 	   	
16 54 24.5	-09 00 15	1651-089 	16 51 40.6	-08 55 26	16 54 24.5	-09 00 15	   0.93	 0.04	 	   	
16 55 08.6	-35 27 42	1651-353 	16 51 49.3	-35 22 55	16 55 08.6	-35 27 42	   1.02	 0.04	 	   	
16 55 04.4	-22 22 23	1652-222 	16 52 04.3	-22 17 37	16 55 04.4	-22 22 23	   0.74	 0.06	 	   	
16 56 35.0	-60 55 29	1652-608 	16 52 06.1	-60 50 46	16 56 35.0	-60 55 29	   2.41	 0.12	 	   	
16 55 13.6	-27 06 29	1652-270 	16 52 07.1	-27 01 43	16 55 13.6	-27 06 29	   2.71	 0.13	 	   	 P
16 55 17.8	-25 47 32	1652-257 	16 52 13.1	-25 42 46	16 55 17.8	-25 47 32	   1.94	 0.10	 	   	
16 54 35.4	+14 30 22	1652+145 	16 52 18.2	+14 35 09	16 54 35.4	+14 30 22	   0.85	 0.07	 	   	
16 54 41.6	+13 46 31	1652+138 	16 52 23.6	+13 51 18	16 54 41.6	+13 46 32	   1.13	 0.07	 	   	
16 56 12.7	-49 23 18	1652-493 	16 52 24.3	-49 18 35	16 56 12.7	-49 23 18	   1.19	 0.10	 	   	
16 56 57.3	-60 23 55	1652-603 	16 52 30.8	-60 19 13	16 56 57.3	-60 23 55	   1.24	 0.06	 	   	
16 56 43.1	-56 36 58	1652-565 	16 52 32.1	-56 32 16	16 56 43.0	-56 36 58	   0.84	 0.06	 	   	
16 55 14.5	-00 26 45	1652-003 	16 52 40.3	-00 22 00	16 55 14.5	-00 26 45	   1.24	 0.07	 	   	 P
16 55 54.5	-30 32 42	1652-304 	16 52 43.0	-30 27 59	16 55 54.5	-30 32 42	   1.00	 0.05	 	   	 P
16 55 49.3	-19 54 38	1652-198 	16 52 52.4	-19 49 55	16 55 49.3	-19 54 38	   0.80	 0.03	 	   	
16 55 40.3	-11 14 42	1652-111 	16 52 53.8	-11 09 59	16 55 40.3	-11 14 42	   0.84	 0.04	 	   	
16 55 28.3	+03 56 12	1652+040 	16 52 59.0	+04 00 56	16 55 28.3	+03 56 12	   1.29	 0.08	 	   	
16 59 37.9	-75 10 55	1653-751 	16 53 01.8	-75 06 20	16 59 37.8	-75 10 55	   0.92	 0.06	 	   	 P
16 57 01.0	-50 59 50	1653-509 	16 53 08.1	-50 55 10	16 57 01.0	-50 59 50	   1.01	 0.04	 	   	
16 56 11.4	-17 44 05	1653-176 	16 53 17.2	-17 39 23	16 56 11.4	-17 44 05	   1.12	 0.05	 	   	
16 56 42.4	-33 11 47	1653-331 	16 53 26.7	-33 07 07	16 56 42.4	-33 11 47	   1.19	 0.05	 	   	 P
16 56 06.8	-03 14 50	1653-031 	16 53 29.4	-03 10 09	16 56 06.8	-03 14 50	   0.79	 0.08	 	   	
16 56 24.6	-09 29 40	1653-094 	16 53 40.1	-09 25 00	16 56 24.6	-09 29 40	   0.97	 0.03	 	   	
16 57 41.0	-51 52 56	1653-518 	16 53 45.5	-51 48 18	16 57 41.0	-51 52 55	   1.11	 0.03	 	   	
16 56 01.8	+18 13 31	1653+183 	16 53 49.2	+18 18 12	16 56 01.8	+18 13 31	   0.73	 0.07	 	   	
16 56 38.2	-09 04 46	1653-090 	16 53 54.2	-09 00 07	16 56 38.2	-09 04 46	   1.86	 0.04	 	E  	 P
16 58 26.9	-61 16 54	1653-612 	16 53 56.0	-61 12 18	16 58 26.9	-61 16 54	   1.72	 0.09	 	   	
16 57 15.9	-35 27 35	1653-353 	16 53 56.5	-35 22 57	16 57 15.9	-35 27 35	   1.29	 0.05	 	   	
16 58 42.5	-59 48 05	1654-597 	16 54 18.4	-59 43 31	16 58 42.4	-59 48 05	   0.98	 0.07	 	   	
16 56 55.8	-02 06 50	1654-020 	16 54 19.7	-02 02 12	16 56 55.8	-02 06 50	   1.47	 0.05	 	   	 P
16 57 12.5	-13 49 10	1654-137 	16 54 23.0	-13 44 33	16 57 12.5	-13 49 10	   2.91	 0.11	 	E  	 P
16 57 08.2	-04 08 15	1654-040 	16 54 29.8	-04 03 38	16 57 08.2	-04 08 15	   1.08	 0.07	 	   	
16 57 20.9	-13 14 14	1654-131 	16 54 32.1	-13 09 37	16 57 20.9	-13 14 13	   0.83	 0.07	 	   	
16 58 09.6	-35 42 40	1654-356 	16 54 49.7	-35 38 06	16 58 09.6	-35 42 40	   1.09	 0.05	 	   	
16 58 07.8	-31 56 22	1654-318 	16 54 54.0	-31 51 48	16 58 07.8	-31 56 22	   0.88	 0.07	 	   	
16 58 05.0	-20 11 29	1655-201 	16 55 07.6	-20 06 55	16 58 05.0	-20 11 29	   2.38	 0.04	 	   	
16 59 09.2	-53 20 16	1655-532 	16 55 09.1	-53 15 44	16 59 09.2	-53 20 15	   2.14	 0.10	 	   	
17 02 41.3	-77 42 00	1655-776 	16 55 12.7	-77 37 36	17 02 41.2	-77 42 00	   5.04	 0.22	 	   	 P
16 59 08.0	-48 15 48	1655-481 	16 55 22.2	-48 11 17	16 59 08.0	-48 15 48	   1.29	 0.04	 	   	
16 58 41.2	-31 18 11	1655-312 	16 55 28.4	-31 13 39	16 58 41.2	-31 18 11	   0.84	 0.07	 	   	
16 58 22.8	-17 27 06	1655-173 	16 55 28.9	-17 22 34	16 58 22.9	-17 27 06	   1.48	 0.05	 	   	
16 58 09.1	+07 41 33	1655+077 	16 55 44.0	+07 46 05	16 58 09.1	+07 41 33	   1.86	 0.10	 	   	 P
16 58 41.6	-14 11 07	1655-141 	16 55 51.6	-14 06 36	16 58 41.6	-14 11 07	   0.85	 0.05	 	   	
16 58 40.8	-05 44 14	1656-056 	16 56 00.6	-05 39 43	16 58 40.8	-05 44 14	   0.78	 0.06	 	   	
16 58 44.3	-07 39 14	1656-075 	16 56 01.9	-07 34 44	16 58 44.3	-07 39 14	   1.00	 0.05	 	   	
16 58 33.7	+05 15 10	1656+053 	16 56 05.9	+05 19 41	16 58 33.7	+05 15 10	   2.34	 0.11	 	   	 P
17 01 23.5	-62 59 29	1656-629 	16 56 43.4	-62 55 05	17 01 23.5	-62 59 28	   0.69	 0.06	 	   	
17 03 13.2	-74 42 47	1656-746 	16 56 43.8	-74 38 27	17 03 13.1	-74 42 47	   1.02	 0.07	 	   	 P
16 59 57.0	-30 52 06	1656-307 	16 56 44.8	-30 47 40	16 59 57.0	-30 52 06	   3.65	 0.12	 	   	
16 59 33.0	-05 35 19	1656-055 	16 56 53.0	-05 30 52	16 59 33.0	-05 35 19	   0.79	 0.06	 	   	
17 00 18.0	-34 09 16	1657-340 	16 57 00.6	-34 04 51	17 00 18.0	-34 09 16	   2.15	 0.11	 	   	 P
16 59 44.8	-04 21 06	1657-042 	16 57 06.2	-04 16 40	16 59 44.9	-04 21 06	   0.94	 0.07	 	   	
17 00 21.1	-20 24 57	1657-203 	16 57 23.4	-20 20 33	17 00 21.1	-20 24 57	   0.96	 0.03	 	   	
17 01 45.2	-56 21 56	1657-562 	16 57 34.6	-56 17 35	17 01 45.2	-56 21 56	   1.59	 0.06	 	   	
17 00 16.7	+00 19 13	1657+003 	16 57 43.3	+00 23 37	17 00 16.7	+00 19 13	   0.81	 0.04	 	   	 P
17 01 09.1	-29 54 42	1657-298 	16 57 58.3	-29 50 21	17 01 09.1	-29 54 42	   4.58	 0.12	 	   	 P
17 01 19.6	-29 02 02	1658-289 	16 58 10.1	-28 57 41	17 01 19.7	-29 02 01	   1.41	 0.05	 	   	
17 00 40.0	+14 48 45	1658+148 	16 58 23.3	+14 53 06	17 00 40.0	+14 48 45	   4.27	 0.19	 	   	 P
17 02 41.9	-58 03 18	1658-579 	16 58 24.7	-57 59 01	17 02 41.9	-58 03 18	   1.01	 0.05	 	   	
17 03 44.9	-66 35 18	1658-665 	16 58 42.1	-66 31 04	17 03 44.9	-66 35 18	   1.69	 0.06	 	   	 P
17 01 07.3	+17 02 38	1658+171 	16 58 53.3	+17 06 57	17 01 07.3	+17 02 38	   1.27	 0.04	 	   	 P
17 03 37.0	-62 12 41	1659-621 	16 59 00.7	-62 08 27	17 03 37.0	-62 12 41	   1.13	 0.05	 	   	
17 06 53.4	-78 23 42	1659-783 	16 59 05.1	-78 19 35	17 06 53.3	-78 23 42	   0.73	 0.06	 	   	
17 01 57.4	-11 13 50	1659-111 	16 59 10.8	-11 09 33	17 01 57.4	-11 13 50	   1.11	 0.04	 	   	
17 01 42.3	+06 32 02	1659+066 	16 59 16.0	+06 36 19	17 01 42.3	+06 32 02	   1.52	 0.09	 	   	
17 01 56.0	+00 59 47	1659+010 	16 59 23.4	+01 04 04	17 01 56.0	+00 59 47	   1.99	 0.07	 	   	 P
17 02 31.4	-22 08 55	1659-220 	16 59 31.4	-22 04 40	17 02 31.4	-22 08 55	   1.65	 0.06	 	   	
17 02 50.1	-29 00 37	1659-289 	16 59 40.5	-28 56 23	17 02 50.1	-29 00 37	   0.81	 0.06	 	   	
17 02 38.7	-17 58 01	1659-178 	16 59 44.0	-17 53 47	17 02 38.7	-17 58 01	   2.40	 0.08	 	   	
17 03 02.3	-26 41 41	1659-266 	16 59 56.1	-26 37 28	17 03 02.3	-26 41 41	   0.80	 0.06	 	   	
17 04 33.7	-59 14 03	1700-591 	17 00 11.3	-59 09 54	17 04 33.6	-59 14 03	   1.13	 0.05	 	   	
17 03 16.5	-20 31 38	1700-204 	17 00 18.5	-20 27 26	17 03 16.5	-20 31 38	   1.78	 0.04	 	   	
17 02 49.3	+11 54 57	1700+119 	17 00 29.2	+11 59 09	17 02 49.3	+11 54 57	   0.72	 0.04	 	   	
17 03 21.0	-12 15 34	1700-121 	17 00 33.2	-12 11 23	17 03 21.0	-12 15 34	   2.25	 0.08	 	   	
17 02 54.4	+17 58 58	1700+180 	17 00 41.7	+18 03 10	17 02 54.5	+17 58 58	   1.35	 0.08	 	   	 P
17 03 29.7	+05 02 06	1701+051 	17 01 01.7	+05 06 16	17 03 29.7	+05 02 06	   1.69	 0.30	 	   	
17 03 24.0	+14 30 27	1701+145 	17 01 07.0	+14 34 37	17 03 24.0	+14 30 27	   1.29	 0.08	 	   	
17 05 42.8	-60 35 48	1701-605 	17 01 14.2	-60 31 43	17 05 42.8	-60 35 48	   2.29	 0.07	 	   	
17 03 54.7	-01 33 31	1701-014 	17 01 19.2	-01 29 23	17 03 54.7	-01 33 31	   1.52	 0.07	 	   	 P
17 04 11.6	-04 35 54	1701-045 	17 01 32.7	-04 31 47	17 04 11.7	-04 35 54	   1.49	 0.06	 	   	
17 04 35.5	-23 18 49	1701-232 	17 01 33.9	-23 14 43	17 04 35.6	-23 18 49	   1.64	 0.06	 	   	
17 04 07.3	+02 22 13	1701+024 	17 01 36.2	+02 26 20	17 04 07.3	+02 22 13	   1.10	 0.07	 	E  	 P
17 04 26.5	-13 50 01	1701-137 	17 01 36.8	-13 45 54	17 04 26.5	-13 50 01	   1.93	 0.09	 	   	
17 04 31.4	-10 54 04	1701-108 	17 01 45.2	-10 49 58	17 04 31.4	-10 54 04	   0.76	 0.03	 	   	
17 04 54.4	-24 45 06	1701-246 	17 01 50.8	-24 41 01	17 04 54.4	-24 45 06	   3.00	 0.19	 	M  	
17 18 17.8	-85 29 25	1702-854 	17 02 01.9	-85 25 49	17 18 17.6	-85 29 25	   1.10	 0.07	 	   	 P
17 05 07.8	-24 45 16	1702-246 	17 02 04.2	-24 41 12	17 05 07.8	-24 45 16	   2.45	 0.18	 	M  	
17 04 41.7	+04 04 13	1702+041 	17 02 12.6	+04 08 18	17 04 41.7	+04 04 13	   1.27	 0.08	 	   	
17 06 53.2	-62 39 42	1702-625 	17 02 14.1	-62 35 42	17 06 53.2	-62 39 42	   1.36	 0.08	 	   	
17 05 40.9	-32 19 19	1702-322 	17 02 26.1	-32 15 17	17 05 40.9	-32 19 19	   4.75	 0.21	 	   	
17 04 49.6	+17 27 19	1702+175 	17 02 36.2	+17 31 23	17 04 49.6	+17 27 19	   0.81	 0.04	 	   	
17 07 06.3	-58 02 25	1702-579 	17 02 48.6	-57 58 26	17 07 06.3	-58 02 24	   2.32	 0.10	 	   	
17 05 40.4	-14 50 45	1702-147 	17 02 49.5	-14 46 44	17 05 40.4	-14 50 45	   0.87	 0.07	 	   	
17 05 11.8	+11 48 27	1702+118 	17 02 51.6	+11 52 29	17 05 11.8	+11 48 27	   1.08	 0.06	 	   	
17 05 28.9	+00 04 12	1702+001 	17 02 55.2	+00 08 14	17 05 28.9	+00 04 12	   1.05	 0.04	 	   	 P
17 05 07.9	+18 32 38	1702+186 	17 02 55.9	+18 36 40	17 05 07.9	+18 32 38	   1.03	 0.07	 	   	
17 06 07.7	-18 37 53	1703-185 	17 03 12.1	-18 33 53	17 06 07.7	-18 37 53	   0.87	 0.06	 	   	
17 07 51.4	-56 51 26	1703-567 	17 03 38.2	-56 47 31	17 07 51.3	-56 51 26	   0.95	 0.06	 	   	
17 06 52.1	-19 38 34	1703-195 	17 03 55.2	-19 34 37	17 06 52.1	-19 38 34	   0.80	 0.06	 	   	
17 10 14.9	-73 43 21	1703-736 	17 03 58.8	-73 39 32	17 10 14.9	-73 43 21	   0.91	 0.07	 	   	
17 06 27.0	+05 02 34	1703+051 	17 03 59.0	+05 06 31	17 06 27.0	+05 02 34	   2.31	 0.33	 	   	
17 06 24.0	+10 25 15	1704+104 	17 04 02.2	+10 29 12	17 06 24.0	+10 25 15	   1.27	 0.07	 	C  	
17 06 17.4	+16 58 39	1704+170 	17 04 03.5	+17 02 36	17 06 17.4	+16 58 39	   3.13	 0.08	 	   	 P
17 06 41.4	-01 39 05	1704-015 	17 04 05.8	-01 35 08	17 06 41.4	-01 39 04	   1.23	 0.04	 	   	
17 07 02.8	-10 00 54	1704-099 	17 04 17.6	-09 56 59	17 07 02.8	-10 00 54	   0.78	 0.04	 	   	
17 07 16.6	-17 56 11	1704-178 	17 04 21.8	-17 52 16	17 07 16.6	-17 56 11	   0.88	 0.05	 	   	
17 06 59.3	-01 48 00	1704-017 	17 04 23.5	-01 44 05	17 06 59.3	-01 48 00	   0.73	 0.04	 	   	
17 07 45.5	-30 30 45	1704-304 	17 04 33.5	-30 26 52	17 07 45.5	-30 30 45	   2.89	 0.08	 	   	
17 07 43.0	-27 16 43	1704-272 	17 04 35.8	-27 12 50	17 07 43.1	-27 16 43	   0.94	 0.07	 	   	
17 07 22.9	+00 03 04	1704+001 	17 04 49.2	+00 06 58	17 07 22.9	+00 03 05	   1.86	 0.07	 	   	 P
17 07 52.3	-22 25 50	1704-223 	17 04 51.7	-22 21 58	17 07 52.3	-22 25 50	   2.85	 0.08	 	   	
17 07 27.4	-01 21 46	1704-012 	17 04 52.1	-01 17 53	17 07 27.4	-01 21 46	   1.20	 0.05	 	   	
17 08 48.3	-45 25 36	1705-453 	17 05 08.6	-45 21 46	17 08 48.3	-45 25 36	   1.17	 0.07	 	   	
17 07 58.3	-10 21 18	1705-102 	17 05 12.7	-10 17 27	17 07 58.3	-10 21 18	   1.50	 0.04	 	   	 P
17 08 15.2	-21 24 46	1705-213 	17 05 16.0	-21 20 55	17 08 15.2	-21 24 46	   0.94	 0.07	 	   	
17 08 00.1	+16 00 42	1705+160 	17 05 45.0	+16 04 32	17 08 00.1	+16 00 42	   0.93	 0.04	 	   	
17 08 03.5	+18 16 45	1705+183 	17 05 51.2	+18 20 35	17 08 03.5	+18 16 45	   1.32	 0.08	 	   	 P
17 08 50.4	-20 46 02	1705-207 	17 05 52.0	-20 42 14	17 08 50.4	-20 46 02	   0.99	 0.07	 	   	
17 10 29.9	-60 41 16	1706-606 	17 06 00.3	-60 37 32	17 10 29.9	-60 41 16	   5.54	 0.17	 	   	
17 08 44.4	+00 35 11	1706+006 	17 06 11.3	+00 38 59	17 08 44.4	+00 35 11	   1.28	 0.06	 	   	 P
17 08 49.6	-02 55 55	1706-028 	17 06 12.5	-02 52 08	17 08 49.6	-02 55 55	   1.58	 0.06	 	   	 P
17 08 39.0	+07 03 57	1706+071 	17 06 13.3	+07 07 45	17 08 39.0	+07 03 57	   0.82	 0.04	 	   	
17 09 24.9	-23 01 35	1706-229 	17 06 23.5	-22 57 49	17 09 24.9	-23 01 35	   0.96	 0.07	 	   	
17 09 09.8	-01 27 58	1706-014 	17 06 34.4	-01 24 12	17 09 09.8	-01 27 58	   0.79	 0.06	 	   	 P
17 12 51.7	-73 43 20	1706-736 	17 06 35.0	-73 39 42	17 12 51.7	-73 43 20	   3.14	 0.15	 	   	 P
17 09 07.8	+09 24 14	1706+094 	17 06 44.8	+09 28 00	17 09 07.8	+09 24 14	   1.35	 0.08	 	   	 P
17 10 07.6	-29 48 48	1706-297 	17 06 56.5	-29 45 05	17 10 07.6	-29 48 48	   2.56	 0.11	 	   	
17 10 09.7	-20 30 30	1707-204 	17 07 11.6	-20 26 47	17 10 09.7	-20 30 30	   2.15	 0.05	 	   	
17 09 35.5	+11 40 29	1707+117 	17 07 15.2	+11 44 13	17 09 35.5	+11 40 29	   1.61	 0.06	 	   	
17 09 48.3	+06 45 01	1707+068 	17 07 22.3	+06 48 44	17 09 48.3	+06 45 01	   1.44	 0.08	 	   	
17 10 07.3	-08 50 41	1707-087 	17 07 23.4	-08 46 59	17 10 07.3	-08 50 41	   0.89	 0.03	 	   	
17 10 35.6	-21 21 26	1707-212 	17 07 36.4	-21 17 45	17 10 35.6	-21 21 26	   1.49	 0.06	 	   	
17 10 06.4	+10 31 08	1707+105 	17 07 44.8	+10 34 49	17 10 06.4	+10 31 08	   1.32	 0.06	 	   	
17 10 35.1	+00 36 29	1708+006 	17 08 02.0	+00 40 09	17 10 35.1	+00 36 29	   2.65	 0.10	 	   	 P
17 11 03.9	-22 27 08	1708-223 	17 08 03.2	-22 23 29	17 11 03.9	-22 27 08	   0.80	 0.06	 	   	
17 17 56.9	-81 15 15	1708-811 	17 08 19.1	-81 11 51	17 17 56.8	-81 15 15	   0.78	 0.06	 	   	 P
17 13 31.3	-64 56 14	1708-648 	17 08 38.0	-64 52 42	17 13 31.2	-64 56 14	   1.43	 0.10	 	   	 P
17 11 18.9	+11 18 56	1708+113 	17 08 58.2	+11 22 32	17 11 18.9	+11 18 56	   0.97	 0.06	 	   	
17 11 45.0	-06 34 52	1709-065 	17 09 03.7	-06 31 17	17 11 45.0	-06 34 52	   1.50	 0.07	 	   	
17 14 30.7	-68 35 14	1709-685 	17 09 10.5	-68 31 45	17 14 30.7	-68 35 14	   1.45	 0.08	 	   	
17 13 53.5	-62 33 20	1709-624 	17 09 14.1	-62 29 50	17 13 53.5	-62 33 20	   0.75	 0.06	 	   	
17 12 30.1	-27 18 01	1709-272 	17 09 22.7	-27 14 28	17 12 30.1	-27 18 01	   1.95	 0.10	 	   	
17 12 30.7	-23 12 58	1709-231 	17 09 28.9	-23 09 25	17 12 30.7	-23 12 58	   3.03	 0.10	 	E  	
17 12 49.5	-24 33 01	1709-244 	17 09 45.9	-24 29 30	17 12 49.5	-24 33 01	   1.69	 0.06	 	C  	
17 12 56.9	-28 09 39	1709-281 	17 09 48.2	-28 06 08	17 12 56.9	-28 09 39	  13.60	 0.37	 	   	
17 14 06.3	-51 52 54	1710-518 	17 10 09.3	-51 49 26	17 14 06.3	-51 52 54	   0.96	 0.03	 	   	
17 14 52.8	-63 03 08	1710-629 	17 10 10.5	-62 59 42	17 14 52.7	-63 03 08	   0.73	 0.06	 	   	
17 12 26.7	+15 36 07	1710+156 	17 10 11.2	+15 39 38	17 12 26.7	+15 36 07	   0.89	 0.04	 	   	
17 13 48.9	-44 08 30	1710-440 	17 10 11.7	-44 05 02	17 13 48.8	-44 08 30	   0.77	 0.06	 	   	
17 14 02.4	-49 34 24	1710-495 	17 10 12.0	-49 30 56	17 14 02.4	-49 34 24	   1.24	 0.04	 	   	
17 13 17.2	-25 02 48	1710-249 	17 10 12.9	-24 59 19	17 13 17.2	-25 02 48	   9.64	 0.30	 	E  	
17 13 06.1	-08 17 05	1710-082 	17 10 22.8	-08 13 36	17 13 06.1	-08 17 05	   2.68	 0.05	 	   	
17 14 38.8	-57 02 57	1710-569 	17 10 24.2	-56 59 31	17 14 38.7	-57 02 57	   1.24	 0.05	 	   	
17 13 31.3	-26 59 03	1710-269 	17 10 24.3	-26 55 34	17 13 31.3	-26 59 03	   1.53	 0.06	 	   	
17 12 54.1	+06 27 47	1710+065 	17 10 27.8	+06 31 17	17 12 54.2	+06 27 47	   1.74	 0.09	 	   	
17 13 50.3	-32 26 12	1710-323 	17 10 35.0	-32 22 44	17 13 50.3	-32 26 11	   1.80	 0.23	 	   	
17 13 51.8	-31 11 48	1710-311 	17 10 38.5	-31 08 21	17 13 51.8	-31 11 48	   0.85	 0.07	 	   	
17 14 05.2	-33 45 22	1710-336 	17 10 47.8	-33 41 55	17 14 05.2	-33 45 21	   0.98	 0.07	 	   	
17 15 47.9	-65 24 07	1710-653 	17 10 51.3	-65 20 44	17 15 47.8	-65 24 07	   0.88	 0.07	 	   	
17 23 24.8	-83 46 23	1710-837 	17 10 51.6	-83 43 16	17 23 24.7	-83 46 23	   1.27	 0.14	 	   	
17 13 35.0	-02 59 06	1710-029 	17 10 57.8	-02 55 39	17 13 35.0	-02 59 06	   0.79	 0.09	 	   	 P
17 13 19.1	+15 49 55	1711+158 	17 11 03.9	+15 53 22	17 13 19.1	+15 49 55	   0.94	 0.05	 	   	
17 13 51.3	-10 51 42	1711-108 	17 11 05.0	-10 48 16	17 13 51.3	-10 51 42	   1.12	 0.03	 	   	
17 15 10.7	-51 57 05	1711-518 	17 11 13.4	-51 53 42	17 15 10.7	-51 57 05	   0.93	 0.04	 	   	
17 16 22.6	-67 06 36	1711-670 	17 11 13.9	-67 03 15	17 16 22.5	-67 06 36	   1.19	 0.05	 	   	 P
17 13 59.1	-09 30 02	1711-094 	17 11 14.4	-09 26 36	17 13 59.1	-09 30 02	   0.81	 0.06	 	   	
17 14 28.1	-28 36 23	1711-285 	17 11 18.7	-28 32 58	17 14 28.1	-28 36 23	   0.94	 0.06	 	   	
17 13 43.7	+10 37 18	1711+106 	17 11 22.2	+10 40 44	17 13 43.7	+10 37 18	   1.55	 0.07	 	   	
17 14 07.1	+00 34 50	1711+006 	17 11 34.0	+00 38 15	17 14 07.1	+00 34 50	   2.87	 0.10	 	   	 P
17 14 48.2	-25 14 41	1711-251 	17 11 43.6	-25 11 18	17 14 48.2	-25 14 41	   7.31	 0.85	 	   	
17 15 06.9	-29 13 10	1711-291 	17 11 56.6	-29 09 48	17 15 06.9	-29 13 10	   0.85	 0.05	 	   	
17 15 38.0	-45 53 06	1711-458 	17 11 56.8	-45 49 45	17 15 38.0	-45 53 06	   1.17	 0.07	 	   	
17 14 56.5	-05 58 15	1712-059 	17 12 15.9	-05 54 53	17 14 56.5	-05 58 14	   0.93	 0.07	 	   	
17 18 36.1	-73 26 36	1712-733 	17 12 22.1	-73 23 22	17 18 36.1	-73 26 36	   1.35	 0.06	 	   	
17 15 01.6	-03 21 32	1712-033 	17 12 24.0	-03 18 11	17 15 01.6	-03 21 32	   4.68	 0.15	 	   	 P
17 14 54.3	+10 07 17	1712+101 	17 12 32.2	+10 10 38	17 14 54.3	+10 07 17	   0.72	 0.05	 	   	
17 15 25.7	-04 25 57	1712-043 	17 12 46.9	-04 22 38	17 15 25.7	-04 25 57	   0.90	 0.05	 	   	
17 15 16.8	+06 13 14	1712+062 	17 12 50.2	+06 16 34	17 15 16.8	+06 13 15	   0.99	 0.07	 	   	
17 15 41.9	-12 06 19	1712-120 	17 12 54.1	-12 03 00	17 15 41.9	-12 06 18	   1.36	 0.06	 	E  	 P
17 15 39.8	-03 33 31	1713-035 	17 13 02.0	-03 30 13	17 15 39.8	-03 33 31	   1.29	 0.06	 	   	
17 16 07.7	-23 47 16	1713-237 	17 13 05.1	-23 43 59	17 16 07.7	-23 47 16	   0.87	 0.09	 	   	
17 16 41.9	-19 04 03	1713-190 	17 13 45.5	-19 00 48	17 16 41.9	-19 04 03	   0.95	 0.07	 	   	
17 17 47.2	-51 26 17	1713-513 	17 13 51.2	-51 23 05	17 17 47.2	-51 26 17	   0.73	 0.07	 	   	
17 16 31.2	+06 05 11	1714+061 	17 14 04.4	+06 08 25	17 16 31.2	+06 05 11	   1.24	 0.08	 	N  	
17 16 42.2	-02 00 58	1714-019 	17 14 06.1	-01 57 44	17 16 42.2	-02 00 58	   1.66	 0.04	 	   	 P
17 17 11.7	-22 43 35	1714-226 	17 14 10.5	-22 40 22	17 17 11.7	-22 43 35	   1.04	 0.05	 	   	
17 16 49.7	-03 33 12	1714-034 	17 14 11.9	-03 29 59	17 16 49.7	-03 33 12	   1.27	 0.06	 	   	 P
17 16 58.8	+02 31 49	1714+025 	17 14 27.9	+02 35 01	17 16 58.8	+02 31 49	   1.20	 0.08	 	   	 P
